Theme,,Question,Answer 1,Answer 2,Answer 3,Answer 4,Description,Enabled,,
Nintendo,1,Who is Bowser?,Nintendo boss,Mario's archenemy,Internet browsing app,An Dinosoure,,0,,
Nintendo,2,Can we consider Metroid Prime: Federation Force a true game in the Metroid Prime series?,No,Yes,"Well, maybe someone enjoyed it...",This is a provocative question!,,,,
Nintendo,3,Who is this elf according to your girlfriend?,Zelda,Link,Legolas,Frodo,,,,
Nintendo,4,Which Nintendo console sold the worst?,Wii U,Nintendo Switch,3DS,Virtual Boy,,,,
Nintendo,5,Which Nintendo console sold the best as of 2023?,Nintendo Switch,Nintendo DS,Wii,Game Boy,,,,
Nintendo,6,What color was the screen in the Nintendo Virtual Boy?,Red with black,Black and white,Red with white,Colorful,,,,
Nintendo,7,What is considered the main reason for the failure of the Wii U?,Marketing with confusing messaging and featuring disruptive children,Weak hardware of the console,A lack of first-party games from Nintendo,Uncomfortable gamepad-tablet,,,,
Nintendo,8,Which of the following does Nintendo own the rights to?,Pornographic film based on the Mario Brothers,Patent on Metroidvania-style games,,,,,,
Xbox,9,What was the name of the voice assistant in Halo?,Cortana,Karen,Master Chief,Reaver ,,0,,
Nintendo,10,What is the difference between the Nintendo Switch and the Nintendo Switch OLED?,OLED screen + bigger screen + new stand,OLED screen + bigger screen,OLED screen,OLED screen + bigger screen + new stand + additional processor in the docking station,,,,
Nintendo,11,What day is Mario Day celebrated?,March 10th.,February 14th,April 18th,August 20th,,,,
Nintendo,12,What is Virtual Console?,Retro game emulation service,Nintendo console with a stereoscopic screen,,,,,,
Nintendo,13,What does Nintendo do when they see fans making something with their own hands using Mario characters?,Files lawsuits against them,Nintendo may offer to pay royalties through a collaboration program,Nintendo may hire the best fans to work for them,Nothing,,,,
Nintendo,14,How many batteries were in the original GameBoy?,4,2,6,8,,,,
Nintendo,15,"What Nintendo game was announced in 2017, but then two years later it was announced that development would be rebooted from scratch?",Metroid prime 4,Pikmin 4,Metroid Prime Trilogy,The Legend of Zelda: Tears of the Kingdom ,,,,
Nintendo,16,"Why does Nintendo have mostly the same characters in their games, but very different gameplay?",Because Nintendo are geniuses,"Because in games, gameplay is the most important aspect",ecause bearded 40-year-old men love Mario,"Hey, what about Splatoon and that...what's his name?",Because Nintendo knows how to make games,,,
Nintendo,17,What game was the guy playing on the plane in the very first Nintendo Switch commercial?,Skyrim,Super Mario,The Legend of Zelda,Mariokart,,,,
Nintendo,18,In which Mario game does Mario not have to save the princess?,Super Mario 3D World,Super Mario Oddysey,Super Mario Bros.,Super Mario 64,,,,
Nintendo,19,Which Nintendo game series is the best?,Super Mario,Zelda,Metroid,Kirby,I can't believe you chose only one,,,
Nintendo,20,In which game was Mario able to run around in just his underwear?,Super Mario Oddysey,Super Mario Sunshine,Super Mario Galaxy,Super Mario Galaxy 2,,,,
Nintendo,21,In which game is the gameplay time tied to real-time in real world?,Animal crossing,Pokémon Sword and Shield,Pokémon Scarlet and Violet,Super Mario Maker 2,,,,
Nintendo,22,Which Nintendo console switched from cartridges to compact discs?,GameCube,Nintendo 64,Wii,Wii U,,,,
Nintendo,23,Which was the first fully 3D Mario game?,Super Mario 64,Super Mario Sunshine,Super Mario 3D World,Super Mario 3D Land,,,,
Nintendo,24,Which was the first fully 3D game in The Legend of Zelda series?,Ocarina of Time,Majora's Mask,The Wind Waker,Twilight Princess,,,,
Nintendo,25,In which game of The Legend of Zelda series could you control a train?,Spirit Tracks,The Wind Waker,The Minish Cap,Phantom Hourglass,,,,
Nintendo,26,Which game in The Legend of Zelda series describes the very beginning of the entire timeline?,Skyward Sword,A Link to the Past,Link's Awakening,Oracle of Ages,"A mainline entry in The Legend of Zelda series, Skyward Sword is the first game in the Zelda timeline",,,
Nintendo,27,In which game in The Legend of Zelda series could Link fly on a bird?,Skyward Sword,The Wind Waker,Twilight Princess,Breath of the Wild,,,,
Nintendo,28,Which game in The Legend of Zelda series featured Wii Motion controls?,Skyward Sword,A Link Between Worlds,The Wind Waker,Tri Force Heroes,,,,
Nintendo,29,"In which Nintendo game series does Mario need to be saved, rather than Mario being the one who saves the princess?",Luigi's mansion 3,Captain Toad: Treasure Tracker,Super Mario Maker,Paper Mario: The Origami King,,,,
Nintendo,30,Which of these games allowed players to control a combat robot?,Kirby,Super Mario,The Legend of Zelda,Splatoon,,,,
Nintendo,31,Which game featured the famous Gourmet Race melody?,Kirby,Super Mario,The Legend of Zelda,Mario Kart,,,,
Nintendo,32,In which game style has there not been a game featuring Yoshi?,Knitted toysPlasticine,Hand-drawn with pencils,Origami,Knitted toys,,,,
Nintendo,33,Who is the main character in the EarthBound game series?,Ness,Lucas,Pit,Megaman,,,,
Nintendo,34,What is the name of the portable console from Nintendo that was released after the Game Boy Advance?,Nintendo DS,Nintendo 3DS,Game Boy Color,Wii,,,,
Nintendo,35,In which Nintendo game series is the main character a space pilot named Fox McCloud?,Star Fox,F-Zero,Metroid,EarthBound,,,,
Nintendo,36,What is the name of the main character in the game Metroid?,Samus Aran,Pit,Megaman,Ridley,,,,
Nintendo,37,In which game of The Legend of Zelda series can Link transform into a wolf?,Twilight Princess,Breath of the Wild,The Minish Cap,Oracle of Ages,,,,
Nintendo,38,What is the main gameplay feature of the Splatoon game series?,Painting the surface of the level,Capture the Flag,Enemy kills,Capturing control points,,,,
Nintendo,39,What is the name of the main villain in the Metroid game series?,Ridley,Kirby,Samus Aran,Space Pirate,,,,
Nintendo,40,In which game of the Mario Kart series was the anti-gravity feature first introduced?,Mario Kart 8,Mario Kart Double Dash,Mario Kart 7,Mario Kart Wii,,,,
Nintendo,41,In which game of the Super Mario series did the character Yoshi first appear?,Super Mario World,Super Mario World 2: Yoshi's Island,Yoshi,Yoshi's Story,,,,
Nintendo,42,What is the name of the floating companion of Mario that appeared in the game Super Mario Galaxy?,Luma,Yoshi,Toad,Luigi,,,,
Nintendo,43,What console was the predecessor to the Nintendo 64?,Super Nintendo Entertainment System,GameBoy,GameCube,Wii,,,,
Nintendo,44,Which character first appeared in the game Donkey Kong and then became the main character of their own game series?,Mario,Yoshi,Bowser,Kirby,,,,
Nintendo,45,In which game of The Legend of Zelda series can the main character turn into a painting and move along walls?, A Link Between Worlds,Ocarina of Time,Majora's Mask,The Wind Waker,,,,
Nintendo,46,What is the name of the wireless data exchange system between Nintendo's handheld consoles?,StreetPass,eShop,StreetView,Virtual Console,,,,
Nintendo,47,In which game of The Legend of Zelda series is the world divided into two parallel universes?,A Link to the Past,Link's Awakening,Ocarina of Time,Four Swords Adventures,,,,
Nintendo,48,What game in the Super Smash Bros. series was released for the Nintendo Switch?,Ultimate,Brawl,Melee,Deluxe,,,,
Nintendo,49,What is the name of the main villain in the Donkey Kong game series?,King K. Rool,Bowser,Cranky Kong, Pauline,,,,
Nintendo,50,What is the name of the mechanic of absorbing enemies and using their abilities in the Kirby game series?,Copy Ability,Absorb Ability,Steal Ability,Swipe Ability,,,,
Nintendo,51,In which game of The Legend of Zelda series is the mechanic of day and night time and the three-day cycle used?,Majora's Mask,Skyward Sword,The Wind Waker,Breath of the Wild,,,,
Nintendo,52,In which game of the Animal Crossing series does the player become the mayor of the town?,New Leaf,New Horizons,City Folk,Pocket Camp,,,,
Nintendo,53,Who was the game designer of the first Super Mario Bros game?,Shigeru Miyamoto,Hidetaka Miyazaki,Hideo Kojima,Ikumi Nakamura,,,,
Nintendo,54,Who was the game designer of the first The Legend of Zelda game?,Shigeru Miyamoto,Hidetaka Miyazaki,Hideo Kojima,Ikumi Nakamura,,,,
Nintendo,55,"What is the name of the Nintendo game where players control characters, build houses, and interact with animal neighbors?",Animal Crossing,Stardew Valley, Story of Seasons,Harvest Moon,,,,
Nintendo,56,What character from The Legend of Zelda series is Link's faithful equine companion?,Epona,Roach,Bucephalus,Torrent,,,,
Nintendo,57,In which game could Kirby transform into a vehicle?,Forgotten Land,Star Allies,Planet Robobot,Triple Deluxe,,,,
Nintendo,58,"What is the name of the main character in the Kid Icarus series, who is an angel and monster hunter?",Pit,Icarus,Zeus,Zagreus,,,,
Nintendo,59,What game has sold the most copies on Nintendo Switch?,Mario Kart 8 Deluxe,Animal Crossing: New Horizons,Super Smash Bros. Ultimate,The Legend of Zelda: Breath of the Wild,,,,
Nintendo,60,What was the main innovation in the game Super Mario Odyssey?,Exploration,Platforming,Puzzles,Open World,,,,
Nintendo,61,What is the name of the haptic feedback technology in Joy-Con controllers?,HD Rumble,Haptic Engine,Motion Engine,HD Motion,,,,
Nintendo,62,In which of these game series were there RPG games?,Mario,Kirby,Metroid,Splatoon,,,,
Nintendo,63,Where is the headquarters of Nintendo located?,Japan,Korea,China,USA,,,,
Nintendo,64,What was the original business of Nintendo company?,Game cards,Videogames,Cigarettes,Classic and electronic toys,,,,
Nintendo,65,What audience are most Nintendo games aimed at?,For all ages,For children,For adults,For teenagers,,,,
Nintendo,66,What company did Nintendo initially collaborate with to develop their first CD-based console?,Sony,Microsoft,Toshiba,Philips,,,,
Nintendo,67,In which genre of games has Nintendo and its internal studios not yet developed any games?,PRG with Super Mario charactersMassively-multiplayer online (MMO),Third person shooter,Real time strategy,PRG with Super Mario characters,,,,
Nintendo,68,Playing Metroid. Facing a wall with a small crack at the bottom. How to proceed?,Turn into a morph ball,Use charged shot,Use rockets,Use teleportation,,,,
Nintendo,69,You are playing Metroid. You need to climb to the top of the room. You realize that you need to use the Morph Ball. But what upgrade are you missing?,Spider Ball,Jump Ball,Fusion Ball,Power Ball,,,,
Nintendo,70,What series of games from Nintendo is developed by Intelligent Systems and is a tactical role-playing game with turn-based grid combat mechanics?,Fire Emblem,Shin Megami Tensei,Monster Hunter,Octopath Traveler,,,,
Nintendo,71,What is the name of the game mode in the Splatoon series where two teams compete for control of a specific area of the map?,Splat Zones,Splatfest,Deathmatch,Tower Control,,,,
Nintendo,72,"What is the name of the game in The Legend of Zelda series where the main character, Link, is in a world that consists of a vast ocean and his task is to explore several islands and collect fragments of the Triforce?",The Wind Waker,Skyward Sword,Breath of the Wild,Tears of the Kingdom,,,,
Nintendo,73,What does the blue spiky shell do in Mario Kart?,Hits the very first player,Hits the next player,Gives protection for 30 seconds,Flying in a straight line and knocking down all players,,,,
Nintendo,74,"In the game Super Mario Bros., what item is needed to turn into Fire Mario and shoot fireballs?",Flower,Mashroom,Star,POW,"Okay, that was pretty easy, I'm sure everyone in this tournament will respond the same way.",,,
Nintendo,75,What weapon can be used to open green doors in the game Super Metroid?,Regular beam,Rockets,Morph ball grenades,Punch,,,,
Nintendo,76,What weapon can be used to open red doors in the game Super Metroid?,Rockets,Regular beam,Morph ball grenades,Punch,,,,
Nintendo,77,Which type of sport has Nintendo not made a separate game with Mario characters?,Triathlon,Tennis,Golf,Football,,,,
Nintendo,78,What was the new game mechanic introduced in Super Mario Sunshine?,Flash Liquidizer Ultra Dousing Device (F.L.U.D.D.),Cappy – a sentient hat,Pocket Sun,Magic Vacum Cleaner,,,,
Nintendo,79,How did the new gameplay mechanic appear in Super Mario Odyssey?,Cappy – a sentient hat,Flash Liquidizer Ultra Dousing Device (F.L.U.D.D.),Pocket Sun,Magic Vacum Cleaner,,,,
Nintendo,80,What is the name of the additional controller that allows players to participate in exercises using the balance board for the Nintendo Wii console?,Wii Fit,Wii Balance Stick,Wii Body Tracker,Ring Fit,,,,
Nintendo,81,What is the Nintendo series where all new games are released in pairs?,Pokémon,Animal Crossing,Fire Emblem,Splatoon,,,,
Nintendo,82,"In The Legend of Zelda: Breath of the Wild, what can be used to descend from a mountain?",Shield,Skis,Snowboard,Broad sword,,,,
Nintendo,83,What color do Pikmin have in the game Pikmin that has the highest combat potential?,Red,Blue,Green,White,,,,
Nintendo,84,What game did Ubisoft release with characters from the Mario game series?,Mario + Rabbids,Mario + Assasins,Mario + Rayman,Mario Trials,,,,
Nintendo,85,Where do the mushrooms that give Mario an extra life come from?,From the dead bodies of other Marios,They are grown by Koopa Troopa,This is a gift from Rosalina,No one knows,"As it turns out, the official Nintendo manga reveals where the mushrooms that give Mario a level-up come from. They grow from the corpses of other plumbers who have died in the level before. The mushroom preserves the memories of the deceased and ""eternalizes the cycle of life and death."" It's because of this that the hero gains an extra life. ",,,
PlayStation,86,Why does Sony make similar third-person games with a dramatic storyline and open world?,Because it's brilliant!,Because it's a masterpiece!,This is driving the video game industry forward!,They just want to make good games!,,,,
PlayStation,87,"Why does Sony make similar games with third-person view, dramatic storylines, and open worlds?",People agree to it,Sony is greedy,Why change something if it sells well?,Players just want to watch movies instead of playing games.,"However, the manga is not considered absolute canon by Nintendo. It includes a lot of crazy concepts, most of which should be taken as a joke.",,,
PlayStation,88,"What is the name of the PlayStation 4 exclusive game with third-person view, a focus on narrative, character progression, and cinematic graphics?",Horizon,God of War,The Last of Us,Days Gone,"Yes, buddy, you got it right, they're all the same.",,,
PlayStation,89,What strategy did Sony focus on with their games for PlayStation 4?,Exclusives,Gameplay,Variety of games,Superhero games,,,,
PlayStation,90,What game can be completed without any cuts or loading screens (one-shot effect)?,God of War,Uncharted,The Last of Us,Spiderman,,,,
PlayStation,91,PlayStation 1 mascot is:,Crash Bandicoot,Tomb Rider,Rayman,Spyro,,,,
PlayStation,92,Who did Sony initially collaborate with on the console that preceded the PlayStation?,Nintendo,Microsoft,Samsung,Sega,,,,
PlayStation,93,What was the name of the controller for the PlayStation 4?,DualShock,DualStick,DualSense,PlayStation Controller,,,,
PlayStation,94,What is the name of the controller for PlayStation 5?,DualSense,DualShock,DualStick,PlayStation Controller,,,,
PlayStation,95,What is the frame rate of the vast majority of exclusive games for PlayStation 4?,30fps,60fps,90fps,120fps,,,,
PlayStation,96,What game developed by FromSoftware is a spiritual successor to the Demon's Souls series and a PlayStation console exclusive?,Bloodborne,Dark Souls,Elden Ring,God of War,,,,
PlayStation,97,"What is the name of the genre of hybrid racing and combat games, where cars with weapons participate, popular on PlayStation?",Twisted Metal,Crash Team Racing,Mario Kart,Nickelodeon Kart Racers,,,,
PlayStation,98,"What is the name of the PlayStation exclusive title developed by Media Molecule, in which players create and play their own levels using the main character named Sackboy?",LittleBigPlanet,Sackboy A Big Adventure,Astro Playroom,Astro Bot: Rescue Mission,,,,
PlayStation,99,What is the name of the PlayStation-exclusive racing simulator series developed by Polyphony Digital?,Gran Turismo,Drive Club,GRID,Project Cars,,,,
PlayStation,100,What is the name of the PlayStation-exclusive game developed by Santa Monica Studio where players control a god?,God of War,Black & White,Kid Icarus,Darksiders,,,,
PlayStation,101,What is the name of the PlayStation exclusive game where the main character named Cole MacGrath gains the power to manipulate electricity after an explosion?,inFAMOUS,God of War,Nier Automata,Bioshock,,,,
PlayStation,102,"In which PlayStation exclusive title, developed by Ready at Dawn, do players control a knight named Galahad? The action takes place in Victorian England.",The Order: 1886,Days Gone,Dying Light,Resident Evil,,,,
PlayStation,103,"What is the name of the PlayStation exclusive game developed by Sucker Punch Productions, in which players control the samurai Jin Sakai, who defends the island of Tsushima against the Mongol invasion?",Ghost of Tsushima,Soulcalibur,Sekiro: Shadows Die Twice,Nioh,,,,
PlayStation,104,"In which of these post-apocalyptic games are supplies extremely important, so you have to search every house and every room?",The Last of Us,Horizon: Zero Dawn,Death Stranding,Horizon: Forbidden West,,,,
Fotrnite,105,What gaming genre does Fortnite belong to?,Battle Royale,First Person Shooter,Building Simulator,Tactical Shooter,,,,
AAA,106,What is the name of the genre of games that was created by two games Metroid and Castlevania?,Metroidvania,Metroidlike,Castelvanialike,Castletroid,,,,
AAA,107,"What actor played the main role of Geralt in the TV series ""The Witcher"" based on the game of the same name?",Henry Cavill,Tom Hardy,Chris Hemsworth,Jason Momoa,,,,
AAA,108,"What company developed the game ""The Witcher 3: Wild Hunt""?",CD Projekt Red,Ubisoft,Bethesda Softworks,Electronic Arts,,,,
AAA,109,"What game is a fantasy RPG with an open world, based on the book series by Andrzej Sapkowski, in which the main character Geralt of Rivia hunts monsters and completes quests for various characters?",The Witcher,Darksiders,Assassin's Creed,Dark Souls,,,,
AAA,110,"What game is a futuristic open-world RPG developed by CD Projekt Red and based on a desktop game, where players control a character living in Night City and complete various quests for different factions?",Cyberpunk 2077,Fallout,Mass Effect,Deus Ex,,,,
AAA,111,"What game is an open world where players can freely roam the city, play as three different characters, drive various vehicles in Los Santos city?",GTA V,Sleeping Dogs,Watch Dogs,Saints Row,,,,
AAA,112,What arcade game from the 1980s features a round character who must eat all the dots on the level while avoiding ghosts?,Pac-Man,Space Invaders,Frogger,Donkey Kong,,,,
AAA,113,What mega-popular game features the character Captain Price?,Call of Duty,Rainbow Six Siege,Halo,Battlefield,,,,
AAA,114,Which character class was introduced in Diablo III after its initial release through the Reaper of Souls expansion?,Necromancer,Crusader,Assassin,Druid,,,,
AAA,115,"What game is the fifth installment in The Elder Scrolls series, where the player has to face the dragon Alduin, who threatens the entire world?",The Elder Scrolls V: Skyrim,The Elder Scrolls III: Morrowind,The Elder Scrolls IV: Oblivion,The Elder Scrolls Online,,,,
AAA,116,"What organization created the Vaults in the Fallout universe, designed to shelter people from nuclear war?",Vault-Tec Corporation,RobCo Industries,Nuka-Cola Corporation,Poseidon Energy,,,,
AAA,117,"What unique gadget does the protagonist of the Fallout series use to communicate, navigate, and manage their inventory?",Pip-Boy,Holo-Pad,Rad-Tracker,Tech-Com,,,,
AAA,118,"What is the name of the protagonist of the game Grand Theft Auto: San Andreas, who returns to his hometown after five years of absence?","Carl ""CJ"" Johnson",Tommy Vercetti,Niko Bellic,Michael De Santa,,,,
AAA,119,"What is the name of the gang to which the protagonist of the game Grand Theft Auto: San Andreas belongs, and with which he cooperates during the storyline?",Grove Street Families,Ballas,Vercetti Gang,Los Santos Vagos,,,,
AAA,120,"What game genre unites the Borderlands series, combining story elements, first-person shooting, and collecting items?",Looter-Shooter,3D platformer,Point-and-click adventure,3D Shooter,,,,
AAA,121,Which company has been developing and publishing the Assassin's Creed series of games since the first release in 2007?,Ubisoft,Bethesda,Microsoft,Blizzard,,,,
AAA,122,What is the name of the character who is the embodiment of divine power in the game Mortal Kombat?,Raiden,Shao Kahn,Liu Kang,Scorpio,,,,
AAA,123,"Which game is one of the most popular dance simulators, allowing players to dance to a variety of songs, including popular hits and classic tracks?",Just Dance,Guitar Hero,Beat Saber,Wii Fit,,,,
AAA,124,What was the name of the game from the Battlefield series about the first world war?,Battlefield 1,Battlefield I,Battlefield World War,Battlefield Verden,,,,
AAA,125,Which famous game designer designed the original version of Civilization?,Sid Meier,Hideo Kojima,Shigeru Miyamoto,John Carmack,,,,
AAA,126,What is the name of the Terran's basic ground unit in StarCraft?,Marine,Zergling,Dragoon,Reaper,,,,
AAA,127,What is the name of the Protoss's basic ground unit in StarCraft?,Zealot,Hydralisk,Marine,Phoenix,,,,
AAA,128,What is the name of the Zerg's basic ground unit in StarCraft?,Zergling,Hydralisk,Zealot,Reaper,,,,
AAA,129,Which game in the Far Cry series featured a religious cult called Eden's Gate?,Far Cry 5,Far Cry 3,Far Cry 6,Far Cry 4,,,,
AAA,130,Which character is the main protagonist of BioShock 2?,Big Daddy,Jack,Ken Levine,Booker DeWitt,,,,
AAA,131,"In Dark Souls, what is the primary currency used to purchase items and upgrades?",Souls,Emeralds,Diamonds,Gold,,,,
AAA,132,"In which installment of Command & Conquer were these three factions: USA, China, and Global Liberating Army?",Generals,Red Alert,Tiberian Sun,Tiberium Wars,,,,
AAA,133,What is the name of the main protagonist of Half-Life?,Gordon Freeman,Alex Vance,Isaac Clarke,Commander Shepard,,,,
AAA,134,What is the name of the research facility where Half-Life takes place?,Black Mesa,The Umbrella Corporation,Arkham Asylum,Area 51,,,,
AAA,135,Which character is the main character in Doom?,Doomguy,Duke Nukem,Solid Snake,Commander Shepard,,,,
AAA,136,Who was the game designer of the first Doom game,John Romero,John Carmack,Todd Howard,Hideo Kojima,,,,
AAA,137,What is the name of the most powerful weapon in the Doom series?,BFG 9000 (Big F***ing Gun 9000),Hypernova Weapon,Quantum Cannon,Rocket Launcher,,,,
AAA,138,What is the name of the spaceship that serves as the player's base in the Mass Effect series?,Normandy,The Starship Enterprise,The USS Discovery,Voyager,,,,
AAA,139,What is the name of the alien race that is the primary antagonist in the Mass Effect series?,Reapers,Leviathans,Zergs,Tyranids,,,,
AAA,140,What is the main thing a player does in the game Elden Ring?,Dying all the time,Having fun,Fighting monsters,Collecting gold coins,,,,
AAA,141,Where does the action of the game S.T.A.L.K.E.R. take place?,"Chernobyl, Ukraine","tarkov, russia","moscow, russia",Post apocalyptic New York,,,,
AAA,142,What types of weapons are not present in the game Hades?,Crossbow,Rifle gun that can launch granades,Bow,Spear,,,,
AAA,143,Which famous actor was in the game Cyberpunk 2077 and played the role of Johnny Silverhand,Keanu Reeves,"Dwayne ""The Rock"" Johnson",Tom Cruise,Henry Cavill,,,,
AAA,144,What are the cybernetic enhancements of a human called in Deus Ex?,Augmentations,Upgrades,Enhancements,Implants,,,,
PlayStation,145,Which android in Detroit: Become Human considered himself human?,Alice,Ralph,Daniel,Luther,"At the beginning of the game Alice plays the role of Todd Williams' daughter, whose care is entrusted to Kara. She suffers from cruel treatment from her father, which is caused by his wife leaving the family and taking their daughter with her. Later it is revealed that Todd's wife left with their daughter and Todd, grieving for his own child, purchased Alice - a YK500 model android.",,,
PlayStation,146,"What is ""red ice"" in Detroit: Become Human?",Drug,The component that powers androids,Virus,"A mystical symbol, an object of the cult of deviant androids","Red Ice is an illegal drug in the game Detroit: Become Human. It is a synthetic stimulant composed of acetone, lithium, thirium, toluene, and hydrochloric acid. Its molecular formula is given as C17H21NO4 (similar to cocaine).",,,
PlayStation,147,Which game allows you to play as 3 different characters in turn?,Detroit: Become human,Uncharted,Dishonored,God of war,"In Detroit: Become Human, developers allow players to play as three androids Kara, Markus, and Connor, whose fates intertwine with each other.",,,
